row_type,template,provider,uuid,context,requirements,title,description,results,emotion_config
random_event,,,test1,"trigger_tags=[actor:status:temporary:drunk,city:econ:level:prosperous,action:intent:study:poetry]|weight=15.5|background=bg_rural_poor","prop_gt(name=money,val=50),trait_has(name=official)",长安酒馆奇遇,你在长安的一家酒馆中遇到了一位神秘的诗人，他似乎喝醉了，但眼中却闪烁着智慧的光芒。,,
>option,,,test1_give_money,,"prop_gt(name=money,val=100)",,,"prop_sub(name=money,val=100),trait_add(name=corrupt)",
random_event,,,strange_poet,trigger_tags=[test1:test1:test1:test1],trait_has(name=main_jiaoyou_1),奇怪的诗人,你在长安的一家酒馆中遇到了一位神秘的诗人，他似乎喝醉了，但眼中却闪烁着智慧的光芒。,,
>option,,,strange_poet_opt,,,,上前跟他说话,"flag_bool_set(name=chain_strange_poet_1,val=true)",
random_event,,,the_man_got_power,trigger_tags=[test1:test1:test1:test1],flag_bool_has(name=chain_strange_poet_1),奇怪的诗人2,他看起来很醉,,
>option,,,the_man_got_power_opt,,,,担忧的打量着他,"flag_bool_replace(from=chain_strange_poet_1,to=chain_strange_poet_2)",
random_event,,,libai_unveilation,trigger_tags=[test1:test1:test1:test1],flag_bool_has(name=chain_strange_poet_2),奇怪的诗人3,他要掉到河里了,,
>option,,,libai_unveilation_opt,,,,拉住他,"flag_bool_replace(from=chain_strange_poet_2,to=chain_strange_poet_3)",
random_event,,,libai_after,trigger_tags=[test1:test1:test1:test1],flag_bool_has(name=chain_strange_poet_3),奇怪的诗人4,他专门来感谢我,,
>option,,,libai_after_opt,,,,义薄云天！,"flag_bool_replace(from=chain_strange_poet_3,to=chain_strange_poet_1)",
random_event,,,jiaoyou_poem_public,,,交游呈现诗词公开,,,
>option,urn:event_option:poem_giving_option,,jiaoyou_poem_public_opt,poem_taste: urn:poem_taste:zhuoliu_basic_taste,,,,,
random_event,,,libai_welcome_hejiu,weight=0,,李白邀请喝酒,,,
>option,,,libai_hejiu_1,,"flag_int_gt(name=flag_relation_with_libai,val=10)",libai_hejiu_1(5好感以上),libai_hejiu_1(5好感以上),,
>option,,,libai_hejiu_2,,"flag_int_gt(name=flag_relation_with_libai,val=15)",libai_hejiu_2(15好感以上),libai_hejiu_2(15好感以上),,
random_event,,,drink_with_libai,,,和李白喝酒,他看着你：“喝！”,,
>option,urn:event_option:poem_giving_option,,drink_with_libai_send_poem,"""poem_taste: urn:poem_taste:libai_taste, taste_owner_relation_flag:flag_relation_with_libai""",,赠诗一首,,,
random_event,,,welcome_to_wenhuaquan_party,,,被文化圈邀请到宴席,,,
>option,,,,guests=[libai;wangwei;dengqian],,去,,queue_event(event_key=start_of_wenhuaquan_party),
>option,,,,,,不去,,,
random_event,,,start_of_wenhuaquan_party,,,文化圈盛大筵席!,你们假装这是一段很长的很棒的写景抒情文字,,
>option,,,,,,(鼓掌）,,push_event(event_key=mid_of_wenhuaquan_party),
random_event,,,mid_of_wenhuaquan_party,,,在盛大讲话完毕之后，正式开场！,你看见有人斗诗，有人讲话，还有人在扫荡小食,,
>option,,,wenhuaquan_people_choice,,,走向熙熙攘攘的人群,,push_event(event_key=mid_of_wenhuaquan_party_choose_people),
random_event,,"item_provider(list_key=""guests"", text_template=""走向 {item}"", target_event_key=""event_talk_guest"", payload_key=""target_npc"",use_push_event=true)",mid_of_wenhuaquan_party_choose_people,,,要选谁呢？,商务还是运动？,,
